"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 18:37:18 GMT 2024","Mon Nov 25 18:37:24 GMT 2024","5387","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchesProject","User should be able to find a project",""
"passed","Mon Nov 25 18:35:21 GMT 2024","Mon Nov 25 18:35:32 GMT 2024","10982","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Nov 25 18:36:59 GMT 2024","Mon Nov 25 18:37:07 GMT 2024","8670","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManually","User should be able to create build type manually",""
"passed","Mon Nov 25 18:36:46 GMT 2024","Mon Nov 25 18:36:58 GMT 2024","12183","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepo","User should be able to create build type from a repository URL",""
"passed","Mon Nov 25 18:36:41 GMT 2024","Mon Nov 25 18:36:46 GMT 2024","5393","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Nov 25 18:37:13 GMT 2024","Mon Nov 25 18:37:18 GMT 2024","4806","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepo","User should not be able to create build without repository",""
"passed","Mon Nov 25 18:35:41 GMT 2024","Mon Nov 25 18:36:22 GMT 2024","40520","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTest","com.example.teamcity.ui.RunBuildTest","userRunsBuild","User should be able to run build",""
"passed","Mon Nov 25 18:37:07 GMT 2024","Mon Nov 25 18:37:13 GMT 2024","5698","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithNonExistentRepo","User should not be able to create build type with non-existent repository",""
"passed","Mon Nov 25 18:36:22 GMT 2024","Mon Nov 25 18:36:40 GMT 2024","18075","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
