"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 14:22:52 GMT 2024","Sun Nov 24 14:22:58 GMT 2024","6744","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchesProject","User should be able to find a project",""
"passed","Sun Nov 24 14:22:14 GMT 2024","Sun Nov 24 14:22:19 GMT 2024","5351","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sun Nov 24 14:22:47 GMT 2024","Sun Nov 24 14:22:51 GMT 2024","4639","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepo","User should not be able to create build without repository",""
"passed","Sun Nov 24 14:22:41 GMT 2024","Sun Nov 24 14:22:47 GMT 2024","5589","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithNonExistentRepo","User should not be able to create build type with non-existent repository",""
"passed","Sun Nov 24 14:21:56 GMT 2024","Sun Nov 24 14:22:14 GMT 2024","17653","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Nov 24 14:22:19 GMT 2024","Sun Nov 24 14:22:31 GMT 2024","12034","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepo","User should be able to create build type from a repository URL",""
"passed","Sun Nov 24 14:20:53 GMT 2024","Sun Nov 24 14:21:04 GMT 2024","10589","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Sun Nov 24 14:21:13 GMT 2024","Sun Nov 24 14:21:56 GMT 2024","42889","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTest","com.example.teamcity.ui.RunBuildTest","userRunsBuild","User should be able to run build",""
"passed","Sun Nov 24 14:22:32 GMT 2024","Sun Nov 24 14:22:41 GMT 2024","9099","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManually","User should be able to create build type manually",""
