"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 07:37:33 GMT 2024","Wed Nov 27 07:37:39 GMT 2024","5334","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Wed Nov 27 07:37:13 GMT 2024","Wed Nov 27 07:37:33 GMT 2024","20028","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Nov 27 07:38:01 GMT 2024","Wed Nov 27 07:38:08 GMT 2024","6896","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithNonExistentRepo","User should not be able to create build type with non-existent repository",""
"passed","Wed Nov 27 07:37:53 GMT 2024","Wed Nov 27 07:38:00 GMT 2024","7444","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManually","User should be able to create build type manually",""
"passed","Wed Nov 27 07:36:30 GMT 2024","Wed Nov 27 07:37:13 GMT 2024","42932","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTest","com.example.teamcity.ui.RunBuildTest","userRunsBuild","User should be able to run build",""
"passed","Wed Nov 27 07:36:10 GMT 2024","Wed Nov 27 07:36:21 GMT 2024","10788","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Wed Nov 27 07:38:08 GMT 2024","Wed Nov 27 07:38:14 GMT 2024","5906","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepo","User should not be able to create build without repository",""
"passed","Wed Nov 27 07:37:39 GMT 2024","Wed Nov 27 07:37:53 GMT 2024","13794","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepo","User should be able to create build type from a repository URL",""
"passed","Wed Nov 27 07:38:14 GMT 2024","Wed Nov 27 07:38:18 GMT 2024","4701","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchesProject","User should be able to find a project",""
