"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 18:46:19 GMT 2024","Mon Nov 25 18:46:31 GMT 2024","11981","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepo","User should be able to create build type from a repository URL",""
"passed","Mon Nov 25 18:46:42 GMT 2024","Mon Nov 25 18:46:47 GMT 2024","5972","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithNonExistentRepo","User should not be able to create build type with non-existent repository",""
"passed","Mon Nov 25 18:46:13 GMT 2024","Mon Nov 25 18:46:18 GMT 2024","5188","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Nov 25 18:46:53 GMT 2024","Mon Nov 25 18:46:59 GMT 2024","5113","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchesProject","User should be able to find a project",""
"passed","Mon Nov 25 18:44:49 GMT 2024","Mon Nov 25 18:45:00 GMT 2024","10883","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Nov 25 18:46:31 GMT 2024","Mon Nov 25 18:46:41 GMT 2024","10473","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManually","User should be able to create build type manually",""
"passed","Mon Nov 25 18:45:09 GMT 2024","Mon Nov 25 18:45:54 GMT 2024","44411","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTest","com.example.teamcity.ui.RunBuildTest","userRunsBuild","User should be able to run build",""
"passed","Mon Nov 25 18:45:55 GMT 2024","Mon Nov 25 18:46:13 GMT 2024","18441","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Nov 25 18:46:48 GMT 2024","Mon Nov 25 18:46:53 GMT 2024","5679","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepo","User should not be able to create build without repository",""
