"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 20:02:29 GMT 2024","Mon Nov 25 20:02:34 GMT 2024","5108","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Nov 25 20:02:34 GMT 2024","Mon Nov 25 20:02:47 GMT 2024","12643","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepo","User should be able to create build type from a repository URL",""
"passed","Mon Nov 25 20:02:47 GMT 2024","Mon Nov 25 20:02:56 GMT 2024","8560","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManually","User should be able to create build type manually",""
"passed","Mon Nov 25 20:03:02 GMT 2024","Mon Nov 25 20:03:07 GMT 2024","4969","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepo","User should not be able to create build without repository",""
"passed","Mon Nov 25 20:01:10 GMT 2024","Mon Nov 25 20:01:20 GMT 2024","10700","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Nov 25 20:03:07 GMT 2024","Mon Nov 25 20:03:13 GMT 2024","6644","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchesProject","User should be able to find a project",""
"passed","Mon Nov 25 20:02:56 GMT 2024","Mon Nov 25 20:03:01 GMT 2024","5588","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithNonExistentRepo","User should not be able to create build type with non-existent repository",""
"passed","Mon Nov 25 20:01:29 GMT 2024","Mon Nov 25 20:02:10 GMT 2024","40987","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTest","com.example.teamcity.ui.RunBuildTest","userRunsBuild","User should be able to run build",""
"passed","Mon Nov 25 20:02:10 GMT 2024","Mon Nov 25 20:02:29 GMT 2024","18263","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
