"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 19:26:14 GMT 2024","Mon Nov 25 19:26:19 GMT 2024","5174","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Nov 25 19:26:32 GMT 2024","Mon Nov 25 19:26:40 GMT 2024","7801","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManually","User should be able to create build type manually",""
"passed","Mon Nov 25 19:25:11 GMT 2024","Mon Nov 25 19:25:55 GMT 2024","43576","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTest","com.example.teamcity.ui.RunBuildTest","userRunsBuild","User should be able to run build",""
"passed","Mon Nov 25 19:26:53 GMT 2024","Mon Nov 25 19:26:58 GMT 2024","4279","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchesProject","User should be able to find a project",""
"passed","Mon Nov 25 19:26:40 GMT 2024","Mon Nov 25 19:26:48 GMT 2024","7963","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithNonExistentRepo","User should not be able to create build type with non-existent repository",""
"passed","Mon Nov 25 19:26:48 GMT 2024","Mon Nov 25 19:26:53 GMT 2024","4835","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepo","User should not be able to create build without repository",""
"passed","Mon Nov 25 19:25:55 GMT 2024","Mon Nov 25 19:26:14 GMT 2024","18414","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Nov 25 19:24:52 GMT 2024","Mon Nov 25 19:25:03 GMT 2024","10801","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Nov 25 19:26:19 GMT 2024","Mon Nov 25 19:26:32 GMT 2024","12501","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepo","User should be able to create build type from a repository URL",""
