"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 19 19:41:08 GMT 2024","Tue Nov 19 19:42:16 GMT 2024","67730","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTest","com.example.teamcity.ui.RunBuildTest","userRunsBuild","User should be able to run build",""
"passed","Tue Nov 19 19:42:59 GMT 2024","Tue Nov 19 19:43:06 GMT 2024","7565","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManually","User should be able to create build type manually",""
"passed","Tue Nov 19 19:43:17 GMT 2024","Tue Nov 19 19:43:22 GMT 2024","5281","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchesProject","User should be able to find a project",""
"passed","Tue Nov 19 19:42:44 GMT 2024","Tue Nov 19 19:42:58 GMT 2024","14093","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepo","User should be able to create build type from a repository URL",""
"passed","Tue Nov 19 19:42:38 GMT 2024","Tue Nov 19 19:42:44 GMT 2024","6249","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Tue Nov 19 19:40:01 GMT 2024","Tue Nov 19 19:40:59 GMT 2024","58052","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Nov 19 19:43:06 GMT 2024","Tue Nov 19 19:43:12 GMT 2024","5779","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithNonExistentRepo","User should not be able to create build type with non-existent repository",""
"passed","Tue Nov 19 19:43:12 GMT 2024","Tue Nov 19 19:43:17 GMT 2024","4743","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepo","User should not be able to create build without repository",""
"passed","Tue Nov 19 19:42:16 GMT 2024","Tue Nov 19 19:42:37 GMT 2024","21324","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
