"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 19:11:16 GMT 2024","Mon Nov 25 19:11:35 GMT 2024","19188","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Nov 25 19:12:03 GMT 2024","Mon Nov 25 19:12:10 GMT 2024","6242","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithNonExistentRepo","User should not be able to create build type with non-existent repository",""
"passed","Mon Nov 25 19:10:32 GMT 2024","Mon Nov 25 19:11:15 GMT 2024","43005","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTest","com.example.teamcity.ui.RunBuildTest","userRunsBuild","User should be able to run build",""
"passed","Mon Nov 25 19:10:12 GMT 2024","Mon Nov 25 19:10:23 GMT 2024","10740","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Nov 25 19:11:55 GMT 2024","Mon Nov 25 19:12:03 GMT 2024","7822","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManually","User should be able to create build type manually",""
"passed","Mon Nov 25 19:12:15 GMT 2024","Mon Nov 25 19:12:21 GMT 2024","6386","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchesProject","User should be able to find a project",""
"passed","Mon Nov 25 19:12:10 GMT 2024","Mon Nov 25 19:12:15 GMT 2024","4851","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepo","User should not be able to create build without repository",""
"passed","Mon Nov 25 19:11:35 GMT 2024","Mon Nov 25 19:11:41 GMT 2024","5367","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Nov 25 19:11:41 GMT 2024","Mon Nov 25 19:11:55 GMT 2024","14531","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepo","User should be able to create build type from a repository URL",""
