"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 26 18:14:12 GMT 2024","Tue Nov 26 18:14:54 GMT 2024","41241","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTest","com.example.teamcity.ui.RunBuildTest","userRunsBuild","User should be able to run build",""
"passed","Tue Nov 26 18:15:17 GMT 2024","Tue Nov 26 18:15:28 GMT 2024","10963","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepo","User should be able to create build type from a repository URL",""
"passed","Tue Nov 26 18:15:12 GMT 2024","Tue Nov 26 18:15:17 GMT 2024","5124","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Tue Nov 26 18:15:29 GMT 2024","Tue Nov 26 18:15:36 GMT 2024","7571","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManually","User should be able to create build type manually",""
"passed","Tue Nov 26 18:15:36 GMT 2024","Tue Nov 26 18:15:42 GMT 2024","5419","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithNonExistentRepo","User should not be able to create build type with non-existent repository",""
"passed","Tue Nov 26 18:15:47 GMT 2024","Tue Nov 26 18:15:54 GMT 2024","6477","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchesProject","User should be able to find a project",""
"passed","Tue Nov 26 18:13:53 GMT 2024","Tue Nov 26 18:14:04 GMT 2024","10729","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Tue Nov 26 18:15:42 GMT 2024","Tue Nov 26 18:15:47 GMT 2024","5129","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepo","User should not be able to create build without repository",""
"passed","Tue Nov 26 18:14:54 GMT 2024","Tue Nov 26 18:15:12 GMT 2024","17777","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
